::ffff:172.29.0.1 - - [29/Jun/2023:06:41:22 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [29/Jun/2023:06:41:43 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:48:00 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:48:30 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:49:00 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:49:30 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:50:01 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:50:31 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:51:01 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:51:31 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:52:01 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:52:31 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:53:01 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:53:31 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:54:01 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:54:31 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:55:01 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:192.168.112.1 - - [29/Jun/2023:06:55:21 +0000] "OPTIONS / HTTP/1.1" 200 4 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:192.168.112.1 - - [29/Jun/2023:06:55:21 +0000] "POST / HTTP/1.1" 500 55 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [29/Jun/2023:06:55:31 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:56:01 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:56:32 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:57:02 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:57:32 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:192.168.112.1 - - [29/Jun/2023:06:57:49 +0000] "OPTIONS / HTTP/1.1" 200 4 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:192.168.112.1 - - [29/Jun/2023:06:57:49 +0000] "POST / HTTP/1.1" 500 55 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [29/Jun/2023:06:58:02 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:06:58:32 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:192.168.112.1 - - [29/Jun/2023:06:59:02 +0000] "OPTIONS / HTTP/1.1" 200 4 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:192.168.112.1 - - [29/Jun/2023:06:59:02 +0000] "POST / HTTP/1.1" 500 55 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [29/Jun/2023:06:59:02 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:192.168.112.1 - - [29/Jun/2023:06:59:16 +0000] "OPTIONS / HTTP/1.1" 200 4 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:192.168.112.1 - - [29/Jun/2023:06:59:16 +0000] "POST / HTTP/1.1" 500 55 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [29/Jun/2023:06:59:32 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:07:00:02 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:07:00:49 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:192.168.160.1 - - [29/Jun/2023:07:00:59 +0000] "OPTIONS / HTTP/1.1" 200 4 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:192.168.160.1 - - [29/Jun/2023:07:00:59 +0000] "POST / HTTP/1.1" 200 2408 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [29/Jun/2023:07:01:19 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:192.168.160.1 - - [29/Jun/2023:07:01:21 +0000] "OPTIONS / HTTP/1.1" 200 4 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:192.168.160.1 - - [29/Jun/2023:07:01:21 +0000] "POST / HTTP/1.1" 200 2459 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [29/Jun/2023:07:01:49 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:07:02:19 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:07:02:49 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:127.0.0.1 - - [29/Jun/2023:07:03:19 +0000] "GET /health HTTP/1.1" 200 - "-" "curl/7.64.0"
::ffff:192.168.160.1 - - [29/Jun/2023:07:03:34 +0000] "OPTIONS / HTTP/1.1" 200 4 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
::ffff:192.168.160.1 - - [29/Jun/2023:07:03:34 +0000] "POST / HTTP/1.1" 200 1392 "http://localhost:5003/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
